,instrument,num_notes,num_solos
Art Pepper,"['as', 'cl']",3480,6
Ben Webster,['ts'],850,5
Benny Carter,['as'],1791,5
Benny Goodman,['cl'],1954,7
Bix Beiderbecke,['cor'],518,4
Bob Berg,['ts'],3984,6
Buck Clayton,['tp'],561,3
Cannonball Adderley,['as'],2484,5
Charlie Parker,['as'],1587,6
Chet Baker,['tp'],1101,6
Clifford Brown,['tp'],2887,7
Coleman Hawkins,['ts'],2460,6
David Liebman,"['ss', 'ts']",3210,5
David Murray,['ts'],2824,6
Dexter Gordon,['ts'],3693,5
Dickie Wells,['tb'],387,3
Dizzy Gillespie,['tp'],1383,5
Don Byas,['ts'],1922,7
Eric Dolphy,['as'],1487,3
Fats Navarro,['tp'],880,4
Freddie Hubbard,['tp'],2003,6
Gerry Mulligan,['bs'],1049,3
Hank Mobley,['ts'],1455,3
J.J. Johnson,['tb'],2216,5
Joe Henderson,['ts'],3535,6
Joe Lovano,"['ss', 'ts', 'ts-c']",4130,6
John Coltrane,"['ss', 'ts']",8005,11
Joshua Redman,['ts'],2352,5
Kenny Dorham,['tp'],1926,6
Kid Ory,['tb'],175,3
Lee Konitz,['as'],2203,5
Lester Young,['ts'],1447,6
Louis Armstrong,"['cor', 'tp']",781,6
Michael Brecker,['ts'],4062,6
Miles Davis,['tp'],2388,8
Ornette Coleman,['as'],2709,5
Paul Desmond,['as'],2147,8
Roy Eldridge,['tp'],1657,6
Sidney Bechet,['ss'],692,3
Sonny Rollins,['ts'],4782,12
Sonny Stitt,"['as', 'ts']",1239,4
Stan Getz,['ts'],3109,6
Steve Coleman,['as'],2768,7
Steve Lacy,['ss'],1672,5
Steve Turre,['tb'],1026,3
Wayne Shorter,['ts'],3479,10
Woody Shaw,"['cor', 'tp']",2436,6
