,avgtempo,base_name,filename_sv,instrument,performer,recording_year,title,tuning_frequency,intensity_5_to_95_percentile_range,num_notes
ArtPepper_Anthropology_FINAL,218.8,ArtPepper_Anthropology_FINAL,ArtPepper_Anthropology_FINAL.sv,cl,Art Pepper,1979,Anthropology,440.043,9.40860780549,503.0
ArtPepper_BluesforBlanche_FINAL,198.9,ArtPepper_BluesforBlanche_FINAL,ArtPepper_BluesforBlanche_FINAL.sv,as,Art Pepper,1979,Blues for Blanche,439.417,7.07434662637,601.0
ArtPepper_Desafinado_FINAL,140.5,ArtPepper_Desafinado_FINAL,ArtPepper_Desafinado_FINAL.sv,as,Art Pepper,1979,Desafinado,438.995,11.8170507825,360.0
ArtPepper_InAMellowTone_FINAL,167.6,ArtPepper_InAMellowTone_FINAL,ArtPepper_InAMellowTone_FINAL.sv,cl,Art Pepper,1979,In A Mellow Tone,439.587,12.0856405943,557.0
ArtPepper_Stardust-1_FINAL,60.7,ArtPepper_Stardust-1_FINAL,ArtPepper_Stardust-1_FINAL.sv,as,Art Pepper,1979,Stardust,439.507,12.4640042806,577.0
ArtPepper_Stardust-2_FINAL,60.2,ArtPepper_Stardust-2_FINAL,ArtPepper_Stardust-2_FINAL.sv,as,Art Pepper,1979,Stardust,439.449,11.9120628698,882.0
BennyCarter_IGotItBad_FINAL,68.2,BennyCarter_IGotItBad_FINAL,BennyCarter_IGotItBad_FINAL.sv,as,Benny Carter,1952,I Got It Bad,441.817,17.5452445247,445.0
BennyCarter_It'sAWonderfulWorld-1_FINAL,124.2,BennyCarter_It'sAWonderfulWorld-1_FINAL,BennyCarter_It'sAWonderfulWorld-1_FINAL.sv,as,Benny Carter,1986,It's a Wonderful World,444.991,8.90379162852,413.0
BennyCarter_It'sAWonderfulWorld-2_FINAL,127.2,BennyCarter_It'sAWonderfulWorld-2_FINAL,BennyCarter_It'sAWonderfulWorld-2_FINAL.sv,as,Benny Carter,1986,It's a Wonderful World,445.733,7.76528007926,303.0
BennyCarter_LongAgoAndFarAway-1_FINAL,185.0,BennyCarter_LongAgoAndFarAway-1_FINAL,BennyCarter_LongAgoAndFarAway-1_FINAL.sv,as,Benny Carter,1952,Long Ago And Far Away,442.099,16.273988048,373.0
BennyCarter_SweetLorraine_FINAL,91.5,BennyCarter_SweetLorraine_FINAL,BennyCarter_SweetLorraine_FINAL.sv,as,Benny Carter,1986,Sweet Lorraine,445.226,10.2088310662,257.0
BennyGoodman_Avalon_FINAL,241.0,BennyGoodman_Avalon_FINAL,BennyGoodman_Avalon_FINAL.sv,cl,Benny Goodman,1937,Avalon,437.726,10.5954825667,534.0
BennyGoodman_HandfulOfKeys_FINAL,303.1,BennyGoodman_HandfulOfKeys_FINAL,BennyGoodman_HandfulOfKeys_FINAL.sv,cl,Benny Goodman,1937,Handful of Keys,444.425,12.8820274694,385.0
BennyGoodman_Nobody'sSweetheart_FINAL,311.3,BennyGoodman_Nobody'sSweetheart_FINAL,BennyGoodman_Nobody'sSweetheart_FINAL.sv,cl,Benny Goodman,1936,Nobody's Sweetheart,441.112,9.09482254212,229.0
BennyGoodman_Runnin'Wild_FINAL,285.0,BennyGoodman_Runnin'Wild_FINAL,BennyGoodman_Runnin'Wild_FINAL.sv,cl,Benny Goodman,1937,Runnin' Wild,440.423,10.8384056243,222.0
BennyGoodman_TigerRag-1_FINAL,268.0,BennyGoodman_TigerRag-1_FINAL,BennyGoodman_TigerRag-1_FINAL.sv,cl,Benny Goodman,1936,Tiger Rag,437.753,16.0103417174,347.0
BennyGoodman_TigerRag-2_FINAL,271.2,BennyGoodman_TigerRag-2_FINAL,BennyGoodman_TigerRag-2_FINAL.sv,cl,Benny Goodman,1936,Tiger Rag,436.76,12.9346746189,157.0
BennyGoodman_Whispering_FINAL,198.6,BennyGoodman_Whispering_FINAL,BennyGoodman_Whispering_FINAL.sv,cl,Benny Goodman,1936,Whispering,440.493,15.6411348708,80.0
BenWebster_ByeByeBlackbird_FINAL,140.8,BenWebster_ByeByeBlackbird_FINAL,BenWebster_ByeByeBlackbird_FINAL.sv,ts,Ben Webster,1959,Bye Bye Blackbird,440.78,12.1341479432,182.0
BenWebster_DidYouCallHerToday_FINAL,118.4,BenWebster_DidYouCallHerToday_FINAL,BenWebster_DidYouCallHerToday_FINAL.sv,ts,Ben Webster,1962,Did You Call Her Today,439.492,13.9668133643,141.0
BenWebster_MyIdeal_FINAL,74.2,BenWebster_MyIdeal_FINAL,BenWebster_MyIdeal_FINAL.sv,ts,Ben Webster,1956,My Ideal,442.422,15.1989392731,173.0
BenWebster_NightAndDay_FINAL,182.2,BenWebster_NightAndDay_FINAL,BenWebster_NightAndDay_FINAL.sv,ts,Ben Webster,1956,Night And Day,444.732,12.2869138528,200.0
BenWebster_WhereOrWhen_FINAL,82.1,BenWebster_WhereOrWhen_FINAL,BenWebster_WhereOrWhen_FINAL.sv,ts,Ben Webster,1956,Where or When,442.429,12.4377966699,154.0
BixBeiderbecke_I'mComingVirginia_FINAL,131.5,BixBeiderbecke_I'mComingVirginia_FINAL,BixBeiderbecke_I'mComingVirginia_FINAL.sv,cor,Bix Beiderbecke,1927,I'm Coming Virginia,451.418,11.1312183118,225.0
BixBeiderbecke_Margie_FINAL,180.0,BixBeiderbecke_Margie_FINAL,BixBeiderbecke_Margie_FINAL.sv,cor,Bix Beiderbecke,1928,Margie,438.489,7.56505940622,62.0
BixBeiderbecke_RoyalGardenBlues_FINAL,174.1,BixBeiderbecke_RoyalGardenBlues_FINAL,BixBeiderbecke_RoyalGardenBlues_FINAL.sv,cor,Bix Beiderbecke,1927,Royal Garden Blues,443.461,9.64018916318,71.0
BixBeiderbecke_SinginTheBlues_FINAL,134.0,BixBeiderbecke_SinginTheBlues_FINAL,BixBeiderbecke_SinginTheBlues_FINAL.sv,cor,Bix Beiderbecke,1927,Singin The Blues,437.278,13.5109122336,160.0
BobBerg_Angles_FINAL,270.1,BobBerg_Angles_FINAL,BobBerg_Angles_FINAL.sv,ts,Bob Berg,1993,Angles,442.229,9.67553605105,757.0
BobBerg_BluesForBela_FINAL,249.4,BobBerg_BluesForBela_FINAL,BobBerg_BluesForBela_FINAL.sv,ts,Bob Berg,1993,Blues For Bela,440.798,9.99283161399,500.0
